dataset,algorithm,accuracy,f1score
octmnist,NSGAII,0.7853333950042725,0.7901785969734192
octmnist,NSGAII,0.7883332967758179,0.7928583025932312
octmnist,NSGAII,0.7883333563804626,0.7932323217391968
octmnist,NSGAII,0.7756667137145996,0.7791883945465088
octmnist,NSGAII,0.7883333563804626,0.7932323217391968
octmnist,NSGAII,0.7883333563804626,0.7932323217391968
octmnist,NSGAII,0.7756667137145996,0.7791883945465088
octmnist,NSGAII,0.7883332967758179,0.7928583025932312
octmnist,NSGAII,0.783666729927063,0.7841331958770752
octmnist,NSGAII,0.7883332967758179,0.7928583025932312
